t (s),Ece (V),Iwe (A),Ewe (V),cycle
9.999999747378752e-05,0.02019980549812317,-1.2003011917727235e-08,-0.8943983316421509,0
0.00014999999621068127,0.03007357381284237,8.00708858150756e-06,-0.37846457958221436,0
0.00019999999494757503,0.040255896747112274,3.018465349668986e-06,0.010489854030311108,0
0.0002499999936844688,0.050129666924476624,4.246254263762239e-07,0.034378647804260254,0
0.00029999999242136255,0.060003433376550674,1.4243761370380525e-07,0.03758519887924194,0
0.0003499999911582563,0.07018575817346573,1.7675775154657458e-07,0.048327140510082245,0
0.00039999998989515007,0.08005952835083008,2.0497654418250022e-07,0.0537782721221447,0
0.0004499999886320438,0.09024184942245483,1.8438446147683862e-07,0.05955006182193756,0
0.0004999999873689376,0.10011561959981918,1.9582449795052526e-07,0.0784687027335167,0
0.0005499999861058313,0.11029794067144394,2.339579907584266e-07,0.08408016711473465,0
0.0005999999848427251,0.12017171084880829,2.1870458510875324e-07,0.08985195308923721,0
0.0006499999835796189,0.13004548847675323,2.3777134572355862e-07,0.1070069968700409,0
0.0006999999823165126,0.140227809548378,2.751421561697498e-07,0.11213747411966324,0
0.0007499999810534064,0.15010157227516174,2.8048086164744745e-07,0.11614566296339035,0
0.0007999999797903001,0.1602838933467865,2.728541517171834e-07,0.13394200801849365,0
0.0008499999785271939,0.17015767097473145,2.9802222911712306e-07,0.14195838570594788,0
0.0008999999772640876,0.1800314337015152,3.125129808267957e-07,0.14805082976818085,0
0.0009499999760009814,0.19021375477313995,2.850568705525802e-07,0.161197692155838,0
0.0009999999747378752,0.2000875324010849,3.16326321581073e-07,0.17370322346687317,0
0.001049999973474769,0.21026985347270966,3.33105077743312e-07,0.1788337081670761,0
0.0010999999722116627,0.2201436161994934,2.9802222911712306e-07,0.19165989756584167,0
0.0011499999709485564,0.23001739382743835,3.1785168630449334e-07,0.20192086696624756,0
0.0011999999696854502,0.2401997148990631,3.2395303151133703e-07,0.20929592847824097,0
0.001249999968422344,0.25007349252700806,2.858195387034357e-07,0.21827426552772522,0
0.0012999999671592377,0.2602558135986328,2.9192088391027937e-07,0.23623093962669373,0
0.0013499999658961315,0.27012959122657776,3.079369434999535e-07,0.23959781229496002,0
0.0013999999646330252,0.2800033390522003,2.6217676918349753e-07,0.24777452647686005,0
0.001449999963369919,0.2901856601238251,2.484487140463898e-07,0.26925840973854065,0
0.0014999999621068127,0.30005943775177,2.7056614726461703e-07,0.27583184838294983,0
0.0015499999608437065,0.3102417588233948,2.7056614726461703e-07,0.2753508388996124,0
0.0015999999595806003,0.3201155364513397,2.3700866336184845e-07,0.2963537573814392,0
0.001649999958317494,0.3302978575229645,2.7971816507488256e-07,0.30420979857444763,0
0.0016999999570543878,0.3401716351509094,2.789554969240271e-07,0.30869895219802856,0
0.0017499999557912815,0.350045382976532,2.507367184989562e-07,0.3212045133113861,0
0.0017999999545281753,0.36022770404815674,2.6980347911376157e-07,0.3356339931488037,0
0.001849999953265069,0.3701014816761017,2.774301606223162e-07,0.33980250358581543,0
0.0018999999520019628,0.38028380274772644,2.484487140463898e-07,0.35391131043434143,0
0.0019499999507388566,0.3901575803756714,2.675154746611952e-07,0.3643325865268707,0
0.0019999999494757503,0.40003135800361633,2.9192088391027937e-07,0.37315061688423157,0
0.002049999948212644,0.4102136790752411,2.6217676918349753e-07,0.37940338253974915,0
0.002099999946949538,0.42008742690086365,2.835315342508693e-07,0.39431384205818176,0
0.0021499999456864316,0.4302697479724884,2.9649692123712157e-07,0.3999252915382385,0
0.0021999999444233254,0.44014352560043335,2.667528065103397e-07,0.4068193733692169,0
0.002249999943160219,0.4500173032283783,2.4921138219724526e-07,0.4303875267505646,0
0.002299999941897113,0.46019962430000305,2.89632879457713e-07,0.4318304657936096,0
0.0023499999406340066,0.470073401927948,2.675154746611952e-07,0.43728160858154297,0
0.0023999999393709004,0.48025572299957275,2.545500876749429e-07,0.4526730477809906,0
0.002449999938107794,0.4901294708251953,2.7971816507488256e-07,0.46501824259757996,0
0.002499999936844688,0.5000032782554626,2.812435297983029e-07,0.4664612114429474,0
0.0025499999355815817,0.5101855993270874,2.484487140463898e-07,0.4852195084095001,0
0.0025999999343184754,0.52005934715271,2.728541517171834e-07,0.49307554960250854,0
0.002649999933055369,0.5302416682243347,2.942089167845552e-07,0.5014126300811768,0
0.002699999931792263,0.540115475654602,2.3777134572355862e-07,0.511032223701477,0
0.0027499999305291567,0.5502977967262268,2.4539804144296795e-07,0.5256220698356628,0
0.0027999999292660505,0.5601715445518494,2.545500876749429e-07,0.5307525396347046,0
0.002849999928002944,0.5700452923774719,2.591260965800757e-07,0.5410134792327881,0
0.002899999926739838,0.5802276134490967,2.934462486336997e-07,0.5520761013031006,0
0.0029499999254767317,0.590101420879364,3.1937702260620426e-07,0.5599321126937866,0
0.0029999999242136255,0.6002837419509888,2.667528065103397e-07,0.5661848783493042,0
0.0030499999229505192,0.6101574897766113,2.3700866336184845e-07,0.5913563370704651,0
0.003099999921687413,0.6200312376022339,2.5988876473093114e-07,0.5921579599380493,0
0.0031499999204243068,0.6302135586738586,2.4921138219724526e-07,0.5982503890991211,0
0.0031999999191612005,0.640087366104126,2.5378741952408745e-07,0.6136418581008911,0
0.0032499999178980943,0.6502696871757507,2.812435297983029e-07,0.6251854300498962,0
0.003299999916634988,0.6601434350013733,2.89632879457713e-07,0.6251854300498962,0
0.003349999915371882,0.6700171828269958,2.5988876473093114e-07,0.6418594717979431,0
